id,candidate,song,artist,sentiment,theme,album_release_date,line,url
111,Donald Trump,Johnny Ryall,Beastie Boys,neutral,N/A,1989,Donald Trump and Donald Tramp living in the men's Shelter,http://genius.com/Beastie-boys-johnny-ryall-lyrics
112,Donald Trump,Protect Ya Neck II the Zoo,12 O'Clock - Brooklyn Zu,positive,money,1995,"Given the power punch, soon to be paid like Donald Trump",http://genius.com/Ol-dirty-bastard-protect-ya-neck-ii-the-zoo-lyrics
113,Donald Trump,My Word Is Bond,Donald D,positive,N/A,1989,"And after that me and Donald Trump hung out / Donald talkin' 'bout Donald Trump,' man, y'all is crazy",http://genius.com/Ice-t-my-word-is-bond-lyrics
114,Donald Trump,50/Banks,50 Cent,positive,money,2002,"We can talk Trump talk, real estate, stocks, and bonds",http://genius.com/50-cent-50-banks-lyrics
115,Donald Trump,Skill Trade,Nice,positive,money,1990,I'm not rich like Donald Trump,http://genius.com/Nice-skill-trade-lyrics
116,Donald Trump,Strip Club Luv,69 Boyz,positive,money,1998,Girl if your beauty was a dollar you'd be richer than Trump,http://genius.com/69-boyz-strip-club-luv-lyrics
117,Donald Trump,No Shots,7L & Esoteric,positive,money,2010,It's like Trump in your crib countin' money with you,http://genius.com/7l-no-shots-lyrics
118,Donald Trump,Skypager,A Tribe Called Quest,positive,money,1991,Beeper's goin off like Don Trump gets checks,http://genius.com/A-tribe-called-quest-skypager-lyrics
119,Donald Trump,Dolly and the Rat Trap,Ultramagnetic MC's,neutral,money,1992,Look at Donald Trump!,http://genius.com/Ultramagnetic-mcs-dolly-and-the-rat-trap-lyrics
120,Donald Trump,The Coup,The Coup,negative,political,1993,"Break yourself Trump, it's collection day",http://genius.com/The-coup-the-coup-lyrics
121,Donald Trump,Give It Up Fast,Nas,positive,hotel,1996,I need a suite with the flowers complimentary at Trump Towers,http://genius.com/Mobb-deep-give-it-up-fast-lyrics
122,Donald Trump,Trailer,Ace Hood,positive,money,2013,"I'm trying to get richer than Trump, a couple million for lunch",http://genius.com/Ace-hood-trailer-lyrics
123,Donald Trump,The Ebonic Plague,Ras Kass,neutral,N/A,1997,Donald Trump wouldn't let you shine his shoes my man,http://genius.com/Cru-the-ebonic-plague-lyrics
124,Donald Trump,Yeah Yeah Yeah,Akala,positive,money,2006,"It amazes me, these rappers are so dumb / Get they advance and think they Trump",http://genius.com/Akala-yeah-yeah-yeah-lyrics
125,Donald Trump,Boughetto,Ali,positive,money,2002,"Trump money, but it's still the motel and Kyjuan",http://genius.com/Ali-boughetto-lyrics
126,Donald Trump,Mafioso,Kool G. Rap,positive,hotel,1998,Can't stop until I got a Casa up in Trump plaza,http://genius.com/Kool-g-rap-mafioso-lyrics
127,Donald Trump,Soldiers,Master P,neutral,N/A,1998,Follow me dumpin' n----s study humpin' I ain't Donald Trump,http://genius.com/C-murder-soldiers-lyrics
128,Donald Trump,Turn It Into Somethin',Frost,positive,hotel,1999,Real G's posted up at the Trump Towers,http://genius.com/Frost-turn-it-into-somethin-lyrics
129,Donald Trump,Fire,Makeba Mooncycle,neutral,N/A,1999,Playin Donald Trump for the mic with this,http://genius.com/Royal-fam-fire-lyrics
130,Donald Trump,Ba Bump,Black Eyed Peas,positive,money,2006,And if you got money fellas keep it like Trump,http://genius.com/Black-eyed-peas-ba-bump-lyrics
131,Donald Trump,Open Your Mind,Black The Ripper,positive,money,2013,"Who am I kidding, I'm try'na live lavish like Trump",http://genius.com/Black-the-ripper-open-your-mind-lyrics
132,Donald Trump,PlaneWalker,Bobby Raps,positive,money,2015,I do more deals than Donald Trump does,http://genius.com/Bobby-raps-planewalker-wuhuwahnmi2du-lyrics
133,Donald Trump,New World,Nas,neutral,money,1999,The new Don Trump is Bill Gates,http://genius.com/Nas-new-world-lyrics
134,Donald Trump,Speed Law,Yasiin Bey (Mos Def),positive,hotel,1999,Rocked the Trump Tower to the terrordome,http://genius.com/Yasiin-bey-speed-law-lyrics
135,Donald Trump,Molly (remix),Boston George,positive,money,2013,Big money like Donald Trump,http://genius.com/Boston-george-molly-remix-lyrics
136,Donald Trump,Cloud Aura,Brooke Candy,positive,personal,2013,"Ivana and Trump, shit, we coulda' ran the world",http://genius.com/Charli-xcx-cloud-aura-lyrics
137,Donald Trump,Hey Papi,Jay Z,positive,hotel,2000,I went to 1 Trump Plaza on their asses,http://genius.com/Jay-z-hey-papi-lyrics
138,Donald Trump,E.I.,Nelly,positive,hotel,2000,Get a room in Trump Towers just to hit the P hours,http://genius.com/Nelly-ei-lyrics
139,Donald Trump,Dipshits,Cam'ron,positive,hotel,2014,"Lookin' for me? Top floor suite of the Trump, baby",http://genius.com/Camron-dipshits-lyrics
140,Donald Trump,Soundscience,Souls of Mischief,neutral,personal,2000,They high drama like Trump and Ivana,http://genius.com/Souls-of-mischief-soundscience-lyrics
141,Donald Trump,Everywhere I Go,Tha Eastsidaz,positive,hotel,2001,I got a room at the Trump / Later on we can slump,http://genius.com/Tha-eastsidaz-everywhere-i-go-lyrics
142,Donald Trump,Ghetto Manifesto,The Coup,neutral,N/A,2001,Met Donald Trump and he froze up,http://genius.com/The-coup-ghetto-manifesto-lyrics
143,Donald Trump,Shorty,Chingy,positive,money,2003,"I'm the young Donald Trump, is y'all hearin me?",http://genius.com/Busta-rhymes-shorty-lyrics
144,Donald Trump,Crazy,50 Cent,positive,hotel,2002,Now I'm paid - catch me in the Trump Tower lobby,http://genius.com/50-cent-crazy-lyrics
145,Donald Trump,Wet! Wet! Wet!,Princess Superstar,neutral,hotel,2002,"Wet in the elevator, Trump Tower or my lunch hour",http://genius.com/Princess-superstar-wet-wet-wet-lyrics
146,Donald Trump,Get Paid,Styles P,positive,hotel,2002,"Tryin' to see my shit in the Forbes, Trump Tower for 'self",http://genius.com/Styles-p-get-paid-lyrics
147,Donald Trump,Hustle Harder,Common,positive,hotel,2014,She know what n----s want she know how to make 'em hunt / Hotel suite at the Trump,http://genius.com/Common-hustle-harder-lyrics
148,Donald Trump,John They're Stealing,Thirstin Howl III,neutral,money,2002,"Sold to Donald Trump, for personal checks",http://genius.com/Thirstin-howl-iii-john-theyre-stealing-lyrics
149,Donald Trump,Motion,Curren$y,positive,hotel,2012,Car service brung me to the Trump Tower,http://genius.com/Curren-y-motion-lyrics
150,Donald Trump,Kick Back Music,CyHi The Prynce,neutral,hotel,2013,That might get you staying a couple nights up at the Trump,http://genius.com/Cyhi-the-prynce-kick-back-music-lyrics
151,Donald Trump,SkyScraper V,D.R.C,positive,money,2013,I'm trying to make it large trying to Donald Trump it,http://genius.com/Drc-skyscraper-v-lyrics
152,Donald Trump,Take It Off Part 2,Busta Rhymes,positive,hotel,2002,Kennedy loft hoes mackin at the top of the Trump Towers,http://genius.com/Busta-rhymes-take-it-off-part-2-lyrics
153,Donald Trump,Jussummen,Das EFX,positive,money,1992,I went and break a slut like Donald Trump can break a million,http://genius.com/Das-efx-jussummen-lyrics
154,Donald Trump,What More Can I Say,Jay Z,positive,hotel,2003,I'm at the Trump International: ask for me I ain't never scared,http://genius.com/Jay-z-what-more-can-i-say-lyrics
155,Donald Trump,Nothing More,DeDa,positive,money,2003,"Cause boom, you can be Donald Trump and shit",http://genius.com/Pete-rock-nothing-more-lyrics
156,Donald Trump,Tightanic,Demark,positive,money,2014,We'�ll run the market like we be Donald Trump,http://genius.com/Double-p-tightanic-lyrics
157,Donald Trump,Feel the Beat,LL Cool J,positive,hotel,2004,Spend a night in Trump Towers with a blue eyed blonde,http://genius.com/Ll-cool-j-feel-the-beat-lyrics
158,Donald Trump,Shyne,Shyne,positive,hotel,2004,"And dick for you bitches, up in the Trump Tower",http://genius.com/Shyne-shyne-lyrics
159,Donald Trump,Right to Bare Arms,Killah Priest,negative,N/A,2005,This one's for the cops and the war lord Trump,http://genius.com/Maccabeez-right-to-bare-arms-lyrics
160,Donald Trump,We Gon' Make It,Diddy,positive,money,2006,"That Bill Gates, Donald Trump, Bloomberg money",http://genius.com/Puff-daddy-we-gon-make-it-lyrics
161,Donald Trump,Good Morning,Cage,neutral,N/A,2005,Donald Trump shotgun pumps illegal store fronts,http://genius.com/Cage-good-morning-lyrics
162,Donald Trump,Dumb,The High & Mighty,negative,personal,2005,"I'm Donald Trump, with raccoon hair-dos",http://genius.com/The-high-and-mighty-dumb-lyrics
163,Donald Trump,I Wish You Would,Chino XL,neutral,The Apprentice,2005,Music's my apprentice Donald Trump couldn't fire me,http://genius.com/Sway-i-wish-you-would-lyrics
164,Donald Trump,Money Talks,Double X Posse,positive,money,1995,A bank account so fat that Donald Trump would wanna be me,http://genius.com/Double-x-double-xx-posse-money-talks-lyrics
165,Donald Trump,I'm Ballin' Man,Drama,positive,money,2000,More realer than Rockafeller more cheese than Donald Trump,http://genius.com/Dr-ama-im-ballin-lyrics
166,Donald Trump,Shut Up Bitch,Lil Kim,positive,hotel,2005,"I'm in the Trump International, 30 floors up (so high)",http://genius.com/Lil-kim-shut-up-bitch-lyrics
167,Donald Trump,Trump Change,E-40,positive,money,1998,"Trump change, I'm talkin Donald Trump change",http://genius.com/E-40-trump-change-lyrics
168,Donald Trump,Heavy Metal Kings,Jedi Mind Tricks,neutral,The Apprentice,2006,"I'm like Trump in the Apprentice, only fire at night",http://genius.com/Jedi-mind-tricks-heavy-metal-kings-lyrics
169,Donald Trump,The N,Nas,neutral,personal,2006,The Apprentice but not Trump,http://genius.com/Nas-the-n-lyrics
170,Donald Trump,Buy U Some 2,Erick Sermon,positive,money,2006,"No need to talk about the reeiches, I mean Trump punk",http://genius.com/Too-short-buy-u-some-2-lyrics
171,Donald Trump,Favorite Drug,Styles P,positive,hotel,2006,"Got a blunt blaze it up, we can get a room in the Trump",http://genius.com/Styles-p-favorite-drug-lyrics
172,Donald Trump,Mo Cars Mo Hoes,Fabolous,positive,money,2008,"They know I'm hood rich, Donald Trump of the pumpers",http://genius.com/Fabolous-mo-cars-mo-hoes-lyrics
173,Donald Trump,So What,Far East Movement,positive,money,2010,Hundred dollar bills stacked higher than the Trump,http://genius.com/Far-east-movement-so-what-lyrics
174,Donald Trump,LIE-Z,Fat Boys,positive,money,1989,"Boy, I got money like Donald Trump!",http://genius.com/Fat-boys-lie-z-lyrics
175,Donald Trump,Jealousy,Fat Joe,positive,money,2006,We fuckin with Donald Trump now,http://genius.com/Fat-joe-jealousy-lyrics
176,Donald Trump,Kick it Like That,Styles P,positive,hotel,2006,"I'm at the double-oh suites of Trump, for at least a month",http://genius.com/Styles-p-kick-it-like-that-lyrics
177,Donald Trump,Playas Only,The Game,neutral,hotel,2006,Bet she ain't never seen the penthouse at The Trump,http://genius.com/The-game-playas-only-lyrics
